date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:39	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://huzaifaabdullah509.wixsite.com/robots.txt		(from )
12:09:40	1427406/1427406	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jul%202024%2007:09:39%20GMT	https://huzaifaabdullah509.wixsite.com/vibe	C:/My%20Web%20Sites/face/huzaifaabdullah509.wixsite.com/vibe.html	(from )
12:09:41	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/face/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:41	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/face/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:42	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2028%20Jul%202024%2007:09:42%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/face/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:42	9282/9282	---MCZ	200	added ('OK')	text/xml	date:Sun,%2028%20Jul%202024%2007:09:43%20GMT	https://huzaifaabdullah509.wixsite.com/vibe/blog-feed.xml	C:/My%20Web%20Sites/face/huzaifaabdullah509.wixsite.com/vibe/blog-feed.xml	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:44	13066/13066	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c3110fa8bfc985370486a5b733277b0e%22	https://static.parastorage.com/services/comments-widget/1.1011.0/client-viewer/1986.chunk.min.js	C:/My%20Web%20Sites/face/static.parastorage.com/services/comments-widget/1.1011.0/client-viewer/1986.chunk.min.js	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:45	6487/6487	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d384b295f92487894c8025d231cacfd%22	https://static.parastorage.com/services/comments-widget/1.1011.0/client-viewer/ricos_plugin_giphy.chunk.min.js	C:/My%20Web%20Sites/face/static.parastorage.com/services/comments-widget/1.1011.0/client-viewer/ricos_plugin_giphy.chunk.min.js	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:46	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2007:09:47%20GMT	https://huzaifaabdullah509.wixsite.com/	C:/My%20Web%20Sites/face/huzaifaabdullah509.wixsite.com/index.html	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:46	4090/4090	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jul%202024%2007:09:47%20GMT	https://static.wixstatic.com/media/11062b_c7e84b1693cf44ca9005102adf9c07a7~mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_c7e84b1693cf44ca9005102adf9c07a7~mv2.jpg	C:/My%20Web%20Sites/face/static.wixstatic.com/media/11062b_c7e84b1693cf44ca9005102adf9c07a7_mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_c7e84b1693cf44ca9005102adf9c07a7_mv2.jpg	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:51	968877/968877	---MCZ	200	added ('OK')	text/html	etag:W/%223b4718f5e2d3e7cddf29c10bddc75f2c%22	https://huzaifaabdullah509.wixsite.com/vibe/blog	C:/My%20Web%20Sites/face/huzaifaabdullah509.wixsite.com/vibe/blog.html	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:54	896925/896925	---MCZ	200	added ('OK')	text/html	etag:W/%2240d89635ea5fdb837ee5d4e92e86c239%22	https://huzaifaabdullah509.wixsite.com/vibe/book-online	C:/My%20Web%20Sites/face/huzaifaabdullah509.wixsite.com/vibe/book-online.html	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:54	10929/10929	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jul%202024%2007:09:53%20GMT	https://static.wixstatic.com/media/11062b_cd8e272509d74b7e90ced22675341a04~mv2.jpg/v1/fill/w_98,h_55,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_cd8e272509d74b7e90ced22675341a04~mv2.jpg	C:/My%20Web%20Sites/face/static.wixstatic.com/media/11062b_cd8e272509d74b7e90ced22675341a04_mv2.jpg/v1/fill/w_98,h_55,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_cd8e272509d74b7e90ced22675341a04_mv2.png	(from https://huzaifaabdullah509.wixsite.com/vibe)
12:09:59	1393461/1393461	---MCZ	200	added ('OK')	text/html	etag:W/%22eb798132df8b456719fa8e7ac401ca9e%22	https://huzaifaabdullah509.wixsite.com/vibe/post/expert-social-media-services-showcase	C:/My%20Web%20Sites/face/huzaifaabdullah509.wixsite.com/vibe/post/expert-social-media-services-showcase.html	(from https://huzaifaabdullah509.wixsite.com/vibe)
